"fid","CAT_LU","PA","PA_norm","FR.analysis.5_NP","FR.analysis.5_FR","Fragmentation","proximity.analysis.5_PI","Proximity","LC_EVAPO_Evapotranspirating","LC_analysis_ET_score","ET_score_2","SuitKey2","compat_key","unique_compat_Compatibility","Suitability.matrix_2_PLU"
1960,"Farmlands",7.22919390822541,0.243917206093359,29,1.415,3,0.072449,"High",99.18,58.8924,"C","Farmlands_C_3_High","Farmlands_Urban Gardens_C","false","Urban Gardens"
1968,"Farmlands",1.80247716707967,0.0608166277212323,20,1.394,3,0.082788,"High",100,58.4194,"C","Farmlands_C_3_High","Farmlands_Urban Gardens_C","false","Urban Gardens"
1971,"Woods and shrubs",3.14259325587777,0.106032923807642,22,1.394,3,0.075953,"High",99.89,69.8282,"C","Woods and shrubs_C_3_High","Woods and shrubs_Urban Gardens_C","true","Urban Gardens"
1987,"Farmlands",1.52383710185856,0.0514151498971181,17,1.335,2,0.037651,"Low",95.54,61.3016,"C","Farmlands_C_2_Low","Farmlands_Wild spaces_C","false","Wild spaces"
1989,"Farmlands",0.288682840651157,0.00974032690679475,19,1.422,3,0.021314,"Low",99.35,64.0502,"C","Farmlands_C_3_Low","Farmlands_Wild spaces_C","false","Wild spaces"
1991,"Farmlands",8.39298912423807,0.283184333404972,28,1.353,2,0.069368,"High",97.57,56.754,"C","Farmlands_C_2_High","Farmlands_Wild spaces_C","false","Wild spaces"
1992,"Farmlands",1.52827099984238,0.0515647521933141,9,1.153,2,0.051899,"Low",98.08,58.504,"C","Farmlands_C_2_Low","Farmlands_Wild spaces_C","false","Wild spaces"
1996,"Farmlands",0.379830656122732,0.0128157072014142,14,1.305,2,0.031132,"Low",100,58.474,"C","Farmlands_C_2_Low","Farmlands_Wild spaces_C","false","Wild spaces"
2000,"Farmlands",0.106790940132737,0.00360318841684724,20,1.451,3,0.03912,"Low",100,58,"C","Farmlands_C_3_Low","Farmlands_Wild spaces_C","false","Wild spaces"
2001,"Farmlands",0.304782597193233,0.0102835420542067,18,1.399,3,0.020721,"Low",97.51,57.7108,"C","Farmlands_C_3_Low","Farmlands_Wild spaces_C","false","Wild spaces"
2005,"Farmlands",4.69032031615143,0.158254134793213,31,1.547,3,0.081618,"High",92.42,58.442,"C","Farmlands_C_3_High","Farmlands_Urban Gardens_C","false","Urban Gardens"
2015,"Farmlands",0.895454924415046,0.0302131698386652,15,1.311,2,0.016331,"Low",100,65.9044,"C","Farmlands_C_2_Low","Farmlands_Wild spaces_C","false","Wild spaces"
2016,"Farmlands",0.592300683774427,0.0199845694814,18,1.389,3,0.019423,"Low",97.56,60.5998,"C","Farmlands_C_3_Low","Farmlands_Wild spaces_C","false","Wild spaces"
2018,"Farmlands",0.346341388268856,0.0116857598306935,18,1.397,3,0.021521,"Low",98.49,58.5444,"C","Farmlands_C_3_Low","Farmlands_Wild spaces_C","false","Wild spaces"
2021,"Farmlands",15.7180736727688,0.5303369454607,15,0.811,2,0.027011,"Low",94.81,63.8863,"C","Farmlands_C_2_Low","Farmlands_Wild spaces_C","false","Wild spaces"
2030,"Collective spaces",0.625187464866428,0.0210941885984412,37,1.82,3,0.361005,"High",78.81,52.3614,"B","Collective spaces_B_3_High","Collective spaces_Allotment gardens_B","true","Allotment gardens"
2041,"Farmlands",2.72767552184595,0.0920333581951506,11,1.158,2,0.015934,"Low",99.92,64.3802,"C","Farmlands_C_2_Low","Farmlands_Wild spaces_C","false","Wild spaces"
2043,"Woods and shrubs",5.57610706842077,0.188141094881836,13,1.107,2,0.019647,"Low",99.28,68.1578,"C","Woods and shrubs_C_2_Low","Woods and shrubs_Wild spaces_C","true","Wild spaces"
2046,"Woods and shrubs",1.47908654215072,0.0499052399910312,13,1.245,2,0.047017,"Low",100,69.9352,"C","Woods and shrubs_C_2_Low","Woods and shrubs_Wild spaces_C","true","Wild spaces"
2048,"Farmlands",2.11535253110402,0.0713732244341011,20,1.384,3,0.054343,"Low",99.89,63.9128,"C","Farmlands_C_3_Low","Farmlands_Wild spaces_C","false","Wild spaces"
2049,"Parks and public gardens",0.754550197249399,0.0254589624108514,31,1.68,3,0.404099,"High",78.45,51.633,"B","Parks and public gardens_B_3_High","Parks and public gardens_Allotment gardens_B","false","Allotment gardens"
2056,"Farmlands",14.7541269558301,0.497812822715694,12,0.775,2,0.044193,"Low",99.21,59.2134,"C","Farmlands_C_2_Low","Farmlands_Wild spaces_C","false","Wild spaces"
2065,"Farmlands",5.46748239469729,0.184476035227358,17,1.202,2,0.020873,"Low",99.01,59.2582,"C","Farmlands_C_2_Low","Farmlands_Wild spaces_C","false","Wild spaces"
2069,"Farmlands",0.107402680036915,0.00362382887692855,17,1.382,3,0.051441,"Low",99.96,57.9768,"C","Farmlands_C_3_Low","Farmlands_Wild spaces_C","false","Wild spaces"
2074,"Farmlands",1.06737811713628,0.0360139583309341,16,1.328,2,0.024788,"Low",99.97,63.9742,"C","Farmlands_C_2_Low","Farmlands_Wild spaces_C","false","Wild spaces"
2075,"Farmlands",0.6570406058443,0.022168932096991,22,1.478,3,0.07175,"High",99.87,57.3945,"C","Farmlands_C_3_High","Farmlands_Urban Gardens_C","false","Urban Gardens"
2084,"Farmlands",0.15036107193355,0.00507326999895581,8,1.177,2,0.022971,"Low",100,65.8546,"C","Farmlands_C_2_Low","Farmlands_Wild spaces_C","false","Wild spaces"
2087,"Farmlands",0.422860588803887,0.0142675621511107,20,1.441,3,0.051828,"Low",100,64.102,"C","Farmlands_C_3_Low","Farmlands_Wild spaces_C","false","Wild spaces"
2088,"Farmlands",0.601699630784667,0.0203016954188228,21,1.457,3,0.067119,"Low",100,63.2644,"C","Farmlands_C_3_Low","Farmlands_Wild spaces_C","false","Wild spaces"
2089,"Farmlands",0.337552759163921,0.0113892263742832,17,1.375,3,0.082327,"High",99.15,63.456,"C","Farmlands_C_3_High","Farmlands_Urban Gardens_C","false","Urban Gardens"
2092,"Farmlands",0.0625223546124238,0.00210954060010603,17,1.384,3,0.021994,"Low",100,62.4364,"C","Farmlands_C_3_Low","Farmlands_Wild spaces_C","false","Wild spaces"
2106,"Farmlands",7.45053706066472,0.251385452763221,13,1.044,2,0.030558,"Low",99.65,57.9272,"C","Farmlands_C_2_Low","Farmlands_Wild spaces_C","false","Wild spaces"
2108,"Woods and shrubs",0.058239127274738,0.00196502201912256,6,1.134,2,0.031102,"Low",100,69.0307,"C","Woods and shrubs_C_2_Low","Woods and shrubs_Wild spaces_C","true","Wild spaces"
2109,"Farmlands",8.65360425715745,0.291977639532093,20,1.163,2,0.055283,"Low",99.5,58.5026,"C","Farmlands_C_2_Low","Farmlands_Wild spaces_C","false","Wild spaces"
2112,"Farmlands",0.741981260064244,0.0250348791616419,12,1.248,2,0.0275,"Low",100,58,"C","Farmlands_C_2_Low","Farmlands_Wild spaces_C","false","Wild spaces"
2113,"Woods and shrubs",0.0838217199401581,0.00282819357141331,10,1.224,2,0.03011,"Low",100,69.6169,"C","Woods and shrubs_C_2_Low","Woods and shrubs_Wild spaces_C","true","Wild spaces"
2127,"Farmlands",10.4759976497254,0.353466252282181,16,1.011,2,0.04744,"Low",99.99,58.0212,"C","Farmlands_C_2_Low","Farmlands_Wild spaces_C","false","Wild spaces"
2135,"Allotment gardens",1.61168431133989,0.054379165826391,13,1.241,2,0.037884,"Low",92.94,54.2112,"C","Allotment gardens_C_2_Low","Allotment gardens_Wild spaces_C","false","Wild spaces"
2136,"Woods and shrubs",1.04491271757589,0.0352559626865917,13,1.26,2,0.031317,"Low",100,69.8302,"C","Woods and shrubs_C_2_Low","Woods and shrubs_Wild spaces_C","true","Wild spaces"
2138,"Farmlands",0.424130769920978,0.0143104188005859,11,1.236,2,0.033348,"Low",99.9,65.415,"C","Farmlands_C_2_Low","Farmlands_Wild spaces_C","false","Wild spaces"
2139,"Farmlands",7.80727138108125,0.263421876167857,21,1.214,2,0.033919,"Low",99.4,57.6796,"C","Farmlands_C_2_Low","Farmlands_Wild spaces_C","false","Wild spaces"
2142,"Farmlands",0.329482035849802,0.0111169154767027,20,1.444,3,0.123381,"High",100,64,"C","Farmlands_C_3_High","Farmlands_Urban Gardens_C","false","Urban Gardens"
2143,"Farmlands",9.97274283999574,0.336486142369425,18,1.073,2,0.05403,"Low",99.15,58.0228,"C","Farmlands_C_2_Low","Farmlands_Wild spaces_C","false","Wild spaces"
2146,"Farmlands",0.260066741179403,0.00877480307093552,16,1.355,2,0.030376,"Low",100,58.0012,"C","Farmlands_C_2_Low","Farmlands_Wild spaces_C","false","Wild spaces"
2147,"Farmlands",0.133575530855598,0.00450691608253355,15,1.336,2,0.031357,"Low",100,58.633,"C","Farmlands_C_2_Low","Farmlands_Wild spaces_C","false","Wild spaces"
2148,"Parks and public gardens",7.22029983515407,0.243617114896209,8,0.938,2,0.029154,"Low",99.96,67.8933,"C","Parks and public gardens_C_2_Low","Parks and public gardens_Wild spaces_C","false","Wild spaces"
2149,"Farmlands",11.2632082753688,0.380027196538425,14,0.938,2,0.034867,"Low",99.88,58.1416,"C","Farmlands_C_2_Low","Farmlands_Wild spaces_C","false","Wild spaces"
2154,"Parks and public gardens",0.70516452198117,0.0237926610105314,32,1.703,3,0.100844,"High",92.73,59.919,"C","Parks and public gardens_C_3_High","Parks and public gardens_Urban Gardens_C","true","Urban Gardens"
2156,"Farmlands",0.659715090008597,0.0222591707478527,14,1.296,2,0.029614,"Low",100,58,"C","Farmlands_C_2_Low","Farmlands_Wild spaces_C","false","Wild spaces"
2160,"Farmlands",9.77623488816081,0.32985584980912,15,1.011,2,0.037374,"Low",99.52,58.4644,"C","Farmlands_C_2_Low","Farmlands_Wild spaces_C","false","Wild spaces"
2168,"Farmlands",1.87196254818565,0.0631611048840899,15,1.278,2,0.020655,"Low",99.69,59.7042,"C","Farmlands_C_2_Low","Farmlands_Wild spaces_C","false","Wild spaces"
2177,"Farmlands",0.0561030360954115,0.00189294906063833,9,1.203,2,0.02471,"Low",100,64.7929,"C","Farmlands_C_2_Low","Farmlands_Wild spaces_C","false","Wild spaces"
